key,reason,language,language_name,english,dutch,current_translation,previous_english,previous_dutch,comment,source_file
game.claw.grab,new_key,af,Afrikaans,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,am,Amharic,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,ar,Arabic,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,as,Assamese,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,az,Azerbaijani,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,be,Belarusian,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,bg,Bulgarian,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,bn,Bengali,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,bo,Tibetan,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,bs,Bosnian,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,ca,Catalan,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,cs,Czech,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,cy,Welsh,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,da,Danish,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,de,German,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,el,Greek,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,es,Spanish,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,et,Estonian,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
game.claw.grab,new_key,eu,Basque,Grab!,Pak!,,,,Label on the large physical grab button of the claw machine. Keep it short; longer translations shrink to fit the cap.,Localizable.xcstrings
